START        
NUMCL            8
NUMFR        10000
BOXSZ           80
NEWFR        
FRAME            0
NVERT           20
CELLP            0             7.529928906107335             24.67289422758929             3.029281818339805             270.4616718564582             1.035008645202657
VERTP            3             22.55662439840702             32.85213953337897                             0                             0                             0                             0
VERTP            4             21.05187892779611               30.612779514191                             0                             0                             0                             0
VERTP            5             20.38759804652454             27.91176147722246                             0                             0                             0                             0
VERTP            6              21.1289132709138             24.71735130514755                             0                             0                             0                             0
VERTP            7             22.54554256783313             21.89876572739032                             0                             0                             0                             0
VERTP            8             24.32119720758311             20.28539399789471                             0                             0                             0                             0
VERTP            9             27.02456010519189             18.86442528378638                             0                             0                             0                             0
VERTP           10             30.07127211539403             18.16371716133361                             0                             0                             0                             0
VERTP           11             32.46558787682338             19.10280355047135                             0                             0                             0                             0
VERTP           12              35.4184879101653              20.1887603685162                             0                             0                             0                             0
VERTP           13             37.57962059374925             22.13530544254668                             0                             0                             0                             0
VERTP           14              38.7536882925335             24.93138853126957                             0                             0                             0                             0
VERTP           15              39.1157299958362             27.89986946564703                             0                             0                             0                             0
VERTP           16             38.41985624761671             30.91027509445005                             0                             0                             0                             0
VERTP           17             36.93601850555711             33.55461508200078                             0                             0                             0                             0
VERTP           18             34.98257782658512              35.5997724757341                             0                             0                             0                             0
VERTP           19             32.37903585393264             36.92734837327461                             0                             0                             0                             0
NVERT           20
CELLP            2             36.36484194704151             49.42642962502048             3.029281818339805             270.4616718564582             1.026529209088818
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             36.55663815978643              58.6697513404179         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            1             33.75600190987777             58.04355231494768         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            2             30.70930603024523             57.18614407226877         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            3             29.09185033542328             54.60973211799027         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            4             27.75785828654495             52.01570764893834         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            5             27.21720876111803             49.29011301219956         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            6              27.7535218365459             46.24498487320555         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            7             28.54481316661112             44.15886858049911         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            8             31.05921817440267             41.74343517035586         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP            9             33.36971243184534             40.69189014221835         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
VERTP           10              36.1070914208918             40.30471469051834         1.015857888803467e-07          3.44396921783131e-08         1.516142014077067e-06          5.14003591070458e-07
