START        
NUMCL            8
NUMFR         2000
BOXSZ           80
NEWFR        
FRAME            0
NVERT           20
CELLP            0             78.04235356874059             44.73580567575702             4.853454095571966              687.900273513351             1.085454304932012
VERTP            2             3.053508430301588             85.49727066776484                             0                             0          -1.0752317534439e-05         7.310422000016484e-06
VERTP            3          -0.01426783511964125             81.74663359273926                             0                             0        -1.236119919074963e-05         1.448172744170778e-05
VERTP            4            -4.073563571146732             79.10108803245099                             0                             0        -7.079496957681716e-06         4.446410521857791e-06
VERTP            5            -5.511513287830377             74.47396815394666                             0                             0         6.146910406790163e-07        -1.337890612964254e-07
VERTP            6            -4.703704929359546             69.69613414732594                             0                             0        -2.336915362175992e-05        -1.041846993251813e-06
VERTP            7            -3.733743419678738             64.94806200949952                             0                             0         1.267903179288932e-05         8.356994748208446e-06
VERTP            8          -0.08545729214293551             61.75704358645428                             0                             0        -3.017848615935459e-06        -1.258043428853731e-05
VERTP            9             4.391400155258628             59.90044384949591                             0                             0         -6.44580265931477e-06        -1.405624092991071e-05
VERTP           10             9.103243465404701             58.76366890734646                             0                             0         -2.09466899197229e-06         3.859592915593513e-06
VERTP           11             13.63437662465686             60.48670911545318                             0                             0         2.363603064168066e-06        -6.378135114170312e-06
VERTP           12             16.48254483712151             64.41032450863985                             0                             0          1.14072638046428e-05        -1.369869315044625e-05
VERTP           13             20.73934732983622             66.73166949853345                             0                             0         1.410347912118512e-05        -9.232106665948286e-06
VERTP           14             23.77716080169194             70.51014369078723                             0                             0         5.066637351445677e-06        -3.250116096420452e-06
